"rt","serialno","division","sporder","puma","region","st","adjinc","pwgtp","agep","cit","citwp","cow","ddrs","dear","deye","dout","dphy","drat","dratx","drem","eng","fer","gcl","gcm","gcr","hins1","hins2","hins3","hins4","hins5","hins6","hins7","intp","jwmnp","jwrip","jwtr","lanx","mar","marhd","marhm","marht","marhw","marhyp","mig","mil","mlpa","mlpb","mlpcd","mlpe","mlpfg","mlph","mlpi","mlpj","mlpk","nwab","nwav","nwla","nwlk","nwre","oip","pap","relp","retp","sch","schg","schl","semp","sex","ssip","ssp","wagp","wkhp","wkl","wkw","wrk","yoep","anc","anc1p","anc2p","decade","dis","drivesp","esp","esr","fod1p","fod2p","hicov","hisp","indp","jwap","jwdp","lanp","migpuma","migsp","msp","naicsp","nativity","nop","oc","occp","paoc","pernp","pincp","pobp","povpip","powpuma","powsp","privcov","pubcov","qtrbir","rac1p","rac2p","rac3p","racaian","racasn","racblk","racnh","racnum","racpi","racsor","racwht","rc","sciengp","sciengrlp","sfn","sfr","socp","vps","waob","fagep","fancp","fcitp","fcitwp","fcowp","fddrsp","fdearp","fdeyep","fdisp","fdoutp","fdphyp","fdratp","fdratxp","fdremp","fengp","fesrp","fferp","ffodp","fgclp","fgcmp","fgcrp","fhicovp","fhins1p","fhins2p","fhins3c","fhins3p","fhins4c","fhins4p","fhins5c","fhins5p","fhins6p","fhins7p","fhisp","findp","fintp","fjwdp","fjwmnp","fjwrip","fjwtrp","flanp","flanxp","fmarp","fmarhdp","fmarhmp","fmarhtp","fmarhwp","fmarhyp","fmigp","fmigsp","fmilpp","fmilsp","foccp","foip","fpap","fpernp","fpincp","fpobp","fpowsp","fprivcovp","fpubcovp","fracp","frelp","fretp","fschgp","fschlp","fschp","fsemp","fsexp","fssip","fssp","fwagp","fwkhp","fwklp","fwkwp","fwrkp","fyoep","pwgtp1","pwgtp2","pwgtp3","pwgtp4","pwgtp5","pwgtp6","pwgtp7","pwgtp8","pwgtp9","pwgtp10","pwgtp11","pwgtp12","pwgtp13","pwgtp14","pwgtp15","pwgtp16","pwgtp17","pwgtp18","pwgtp19","pwgtp20","pwgtp21","pwgtp22","pwgtp23","pwgtp24","pwgtp25","pwgtp26","pwgtp27","pwgtp28","pwgtp29","pwgtp30","pwgtp31","pwgtp32","pwgtp33","pwgtp34","pwgtp35","pwgtp36","pwgtp37","pwgtp38","pwgtp39","pwgtp40","pwgtp41","pwgtp42","pwgtp43","pwgtp44","pwgtp45","pwgtp46","pwgtp47","pwgtp48","pwgtp49","pwgtp50","pwgtp51","pwgtp52","pwgtp53","pwgtp54","pwgtp55","pwgtp56","pwgtp57","pwgtp58","pwgtp59","pwgtp60","pwgtp61","pwgtp62","pwgtp63","pwgtp64","pwgtp65","pwgtp66","pwgtp67","pwgtp68","pwgtp69","pwgtp70","pwgtp71","pwgtp72","pwgtp73","pwgtp74","pwgtp75","pwgtp76","pwgtp77","pwgtp78","pwgtp79","pwgtp80"
"P","2014000230610","9","03","11610","4","53","1045195",14,23,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"2","1","2","2","2","2","2",0,60,1,"01","1","5",,,,,,"3","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"1",,"21",0,"2",0,0,9500,40,"1","1","1",,"1","706","999",,"2","1",,"1","1401",,"1","01","7370","106","055","1970","10600","053","6","5414    ","1",,"0","2630","4",9500,9500,"015",469,"11600","053","1","2","4","6","43","005","0","1","0","0","1","0","0","0","0","2","1",,,"271020",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,16,16,11,26,24,21,14,4,12,23,11,18,23,16,6,4,5,16,24,12,16,13,14,5,4,4,13,26,11,3,17,17,6,14,32,24,21,14,4,15,14,15,16,26,27,26,20,4,14,26,15,11,26,16,4,5,4,14,25,14,13,16,11,5,3,5,14,20,12,3,18,14,4,15,26,27,27,17,5
"P","2014000237905","9","03","11611","4","53","1045195",34,19,5,,"1","2","2","1","2","2",,,"2","2",,,,,"2","2","2","1","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"2","14","14",0,"1",0,0,2000,40,"1","6","2",2012,"1","609","999","8","1",,,"6",,,"1","01","4980",,,"1500",,,"6","4452    ","2",,"0","9640",,2000,2000,"229",46,,,"2","1","2","6","53","010","0","1","0","0","1","0","0","0","0",,,,,"537064",,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",71,36,64,39,33,63,45,11,48,58,9,60,31,12,53,9,37,29,31,47,10,38,11,39,44,9,38,59,10,10,58,40,25,44,35,56,39,26,33,10,34,26,58,33,38,55,42,13,54,47,14,40,38,11,35,9,26,35,33,54,13,39,14,25,26,18,38,73,10,8,48,37,55,56,52,55,25,37,25,8
"P","2014000240322","9","02","11612","4","53","1045195",46,20,5,,,"2","2","2","2","2",,,"2","2","2",,,,"2","2","2","2","2","2","2",0,,,,"1","5",,,,,,"2","4",,,,,,,,,,"2","3","2","2","3",0,0,"07",0,"1",,"19",0,"2",0,0,0,,"3",,"2",2014,"2","700","913","8","2",,,"6",,,"2","01",,,,"2160","00001","251","6",,"2",,"0",,"4",0,0,"205",41,,,"2","2","3","6","41","010","0","1","0","0","1","0","0","0","0",,,,,,,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",52,79,17,55,22,15,42,11,68,42,39,47,90,43,17,45,60,81,47,48,52,71,10,52,13,12,46,13,70,50,53,44,73,57,17,38,85,83,46,49,45,14,80,44,64,73,47,102,15,46,42,50,14,44,87,55,11,12,48,49,49,12,73,48,73,90,44,74,12,48,46,53,18,40,84,57,13,15,45,55
"P","2014000240322","9","03","11612","4","53","1045195",33,19,5,,"9","2","2","2","2","2",,,"2","2",,,,,"2","2","2","1","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"2","1","2","1","2",0,0,"07",0,"2","15","19",0,"1",0,0,0,,"3",,"2",2013,"2","700","913","8","2",,,"3",,,"1","01","9920",,,"2160",,,"6","9920    ","2",,"0","9920",,0,0,"205",41,,,"2","1","4","6","41","010","0","1","0","0","1","0","0","0","0",,,,,"999920",,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34,63,11,31,10,8,33,10,47,26,28,23,71,30,8,31,42,52,33,40,33,95,10,30,15,10,39,11,38,26,31,44,51,28,14,36,44,39,27,25,28,11,47,36,46,51,36,53,9,38,48,36,6,42,54,25,13,13,34,26,38,6,60,41,44,49,23,47,13,38,30,26,10,36,50,25,14,11,36,47
"P","2014000243521","9","01","11614","4","53","1045195",27,19,5,,,"2","2","2","2","2",,,"2","2","2",,,,"2","1","2","2","2","2","2",0,,,,"1","5",,,,,,"3","4",,,,,,,,,,"2","5","2","2","3",18000,0,"00",0,"2","15","19",0,"2",0,0,0,,"3",,"2",2012,"1","706","999","8","2",,,"6",,,"1","01",,,,"1970","11600","053","6",,"2",,"0",,"4",0,18000,"207",146,,,"1","2","4","6","43","005","0","1","0","0","1","0","0","0","0",,,,,,,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0",,"0",,"0",,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",16,48,29,11,32,12,36,28,9,15,20,40,14,21,34,24,34,6,28,25,47,50,24,5,27,10,47,28,10,16,25,32,18,28,25,26,45,10,36,27,44,51,24,11,23,7,41,19,9,14,27,21,27,31,34,44,36,8,36,39,22,58,26,14,25,7,27,19,14,10,28,21,15,37,35,35,33,8,38,50
"P","2014000243521","9","02","11614","4","53","1045195",31,19,5,,,"2","2","2","2","2",,,"2","3","2",,,,"2","1","2","2","2","2","2",0,,,,"1","5",,,,,,"3","4",,,,,,,,,,"2","5","2","2","3",68000,0,"12",0,"2","15","19",0,"2",0,0,0,,"3",,"2",2011,"1","706","999","8","2",,,"6",,,"1","01",,,,"1970","11600","053","6",,"2",,"0",,"4",0,68000,"207",501,,,"1","2","3","6","43","005","0","1","0","0","1","0","0","0","0",,,,,,,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0",,"1",,"1",,"1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19,59,38,13,40,14,44,31,10,18,24,50,15,25,40,27,44,9,35,33,58,60,28,6,30,12,58,33,12,19,29,37,24,31,27,33,48,11,44,32,53,60,30,12,29,8,47,25,10,18,29,25,32,37,41,55,49,9,42,44,26,74,31,16,30,9,32,22,18,13,34,26,18,39,39,41,40,10,47,57
"P","2014000249451","9","02","11613","4","53","1045195",32,17,1,,"1","2","2","2","2","2",,,"2","1",,,,,"1","2","2","2","2","2","2",0,25,1,"01","1","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"2","15","19",0,"1",0,0,4500,24,"1","5","1",,"1","211","999",,"2","1","7","1",,,"1","02","8590","135","085","1200",,,"6","713Z    ","1","8","1","4010",,4500,4500,"053",251,"11600","053","1","2","2","8","67","015","0","0","0","0","1","0","1","0","1",,,,,"351012",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",42,9,33,30,32,8,35,52,35,11,9,47,41,11,54,32,56,66,39,37,9,55,32,27,26,60,37,7,28,62,72,29,36,55,10,31,11,9,31,25,43,7,40,31,30,9,31,46,31,8,12,38,31,12,70,42,49,42,30,39,10,64,37,33,32,65,36,11,28,55,58,32,29,47,14,32,15,8,36,29
"P","2014000251651","9","01","11612","4","53","1045195",26,22,1,,"1","2","2","2","2","2",,,"2",,,,,,"2","1","2","2","2","2","2",0,20,2,"01","2","1","2","2","1","2",2011,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"00",0,"3","15","22",0,"1",0,0,25000,45,"1","1","1",,"1","032","999",,"2","2",,"1","6004",,"1","01","7590","143","089",,,,"1","5614    ","1",,"0","5240",,25000,25000,"030",196,"11500","053","1","2","4","1","01","001","0","0","0","0","1","0","0","1","0","2","2",,,"434051",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",8,29,8,28,21,30,23,8,6,26,28,6,22,27,7,8,7,8,22,31,23,37,24,41,39,49,49,24,27,36,48,27,29,45,28,31,25,24,55,7,6,25,7,24,31,21,32,6,7,24,26,6,24,21,7,8,8,8,30,22,27,44,31,64,51,52,48,24,26,41,37,22,45,52,26,22,27,19,38,10
"P","2014000251651","9","02","11612","4","53","1045195",30,21,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"2","1","2","2","2","2","2",0,10,2,"01","1","1","2","2","1","2",2011,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"01",0,"3","15","18",0,"2",0,0,12000,24,"1","4","1",,"1","003","999",,"2","2",,"1",,,"1","01","8470","094","053","1110",,,"1","6244    ","1",,"0","4600","1",12000,12000,"030",196,"11600","053","1","2","4","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"399011",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9,33,8,32,22,27,28,8,8,31,30,8,26,39,8,11,11,8,27,39,34,47,38,42,46,68,62,27,30,47,54,31,39,47,28,31,33,25,52,8,9,26,7,34,34,26,32,9,9,26,33,8,27,27,9,10,9,9,32,38,28,50,27,65,50,48,47,38,27,42,45,22,52,66,35,28,27,28,42,9
"P","2014000256963","9","02","11605","4","53","1045195",14,18,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"1","2","2","2","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"2","15","18",0,"2",0,0,12600,50,"1","4",,,"4","999","999",,"2",,,"6",,,"1","01","5580",,,"2050",,,"6","4539    ","1",,"0","4720","4",12600,12600,"053",501,,,"1","2","1","6","43","005","0","1","0","0","1","0","0","0","0",,,,,"412010",,"1","0","0","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1",,"1",,"1",,"1","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0",4,14,5,16,12,4,12,4,24,16,17,21,16,4,12,19,14,20,18,15,3,17,4,15,15,3,12,7,32,24,19,9,13,3,15,23,11,16,19,14,22,12,22,13,16,21,14,36,4,5,10,12,12,27,16,4,11,3,4,12,27,14,17,12,11,24,10,17,4,4,12,19,18,30,11,4,14,5,4,17
