"state_fips","state_name","cpuma0010","puma","geoid","gisjoin","puma_name"
"1 ","Alabama                                                                                             ","14  ","1900 ","101900 ","G01001900","Lee County--Auburn City                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"1 ","Alabama                                                                                             ","16  ","2300 ","102300 ","G01002300","Coffee, Covington, Butler & Crenshaw Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
"6 ","California                                                                                          ","108 ","6103 ","606103 ","G06006103","Placer County (East/High Country Region)--Auburn & Colfax Cities                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
"10","Delaware                                                                                            ","198 ","200  ","1000200","G10000200","Kent County--Dover City                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"17","Illinois                                                                                            ","337 ","3531 ","1703531","G17003531","Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"19","Iowa                                                                                                ","362 ","2300 ","1902300","G19002300","Des Moines, Lee, Henry & Louisa Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
"19","Iowa                                                                                                ","367 ","1500 ","1901500","G19001500","Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities                                                                                                                                                                                                                                                                                                                                                                                                                                       "
"19","Iowa                                                                                                ","367 ","1700 ","1901700","G19001700","Des Moines City                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"21","Kentucky                                                                                            ","385 ","1000 ","2101000","G21001000","Kentucky River Area Development District                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
"21","Kentucky                                                                                            ","397 ","2400 ","2102400","G21002400","Northern Kentucky Area Development District (North Central)--Kenton County                                                                                                                                                                                                                                                                                                                                                                                                                                          "
"21","Kentucky                                                                                            ","398 ","2500 ","2102500","G21002500","Northern Kentucky Area Development District (Northwest)--Boone County                                                                                                                                                                                                                                                                                                                                                                                                                                               "
"21","Kentucky                                                                                            ","398 ","2600 ","2102600","G21002600","Northern Kentucky Area Development District (Southeast)                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"24","Maryland                                                                                            ","434 ","1300 ","2401300","G24001300","Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
"26","Michigan                                                                                            ","480 ","1001 ","2601001","G26001001","Kent County (Southwest)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"26","Michigan                                                                                            ","481 ","1002 ","2601002","G26001002","Kent County (Central)--Grand Rapids City Area                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
"26","Michigan                                                                                            ","481 ","1003 ","2601003","G26001003","Kent County (Southeast)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"26","Michigan                                                                                            ","482 ","1004 ","2601004","G26001004","Kent County (North)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
"28","Mississippi                                                                                         ","544 ","1700 ","2801700","G28001700","South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties                                                                                                                                                                                                                                                                                                                                                                                                                                            "
"44","Rhode Island                                                                                        ","912 ","201  ","4400201","G44000201","Central Rhode Island--Kent County--Warwick City                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"51","Virginia                                                                                            ","1017","51215","5151215","G51051215","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"53","Washington                                                                                          ","1044","11610","5311610","G53011610","King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
"53","Washington                                                                                          ","1044","11613","5311613","G53011613","King County (Southwest Central)--Kent City                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
"53","Washington                                                                                          ","1044","11614","5311614","G53011614","King County (Southwest)--Auburn City & Lakeland                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"53","Washington                                                                                          ","1044","11615","5311615","G53011615","King County (Southeast)--Maple Valley, Covington & Enumclaw Cities                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"53","Washington                                                                                          ","1045","11611","5311611","G53011611","King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"53","Washington                                                                                          ","1046","11612","5311612","G53011612","King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island                                                                                                                                                                                                                                                                                                                                                                                                                                         "
