"st","ctyname","trct","trctname","blklatdd","blklondd","zcta"
"53","King County, WA                                                                                     ","53033026700","267 (King, WA)                                                                                      ",47.488466,-122.365731,"98146"
"53","King County, WA                                                                                     ","53033027600","276 (King, WA)                                                                                      ",47.4876324,-122.3692843,"98146"
"53","King County, WA                                                                                     ","53033027600","276 (King, WA)                                                                                      ",47.4727022,-122.3702771,"98166"
"53","King County, WA                                                                                     ","53033026300","263 (King, WA)                                                                                      ",47.5239505,-122.2914626,"98108"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4218006,-122.1509807,"98042"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4281607,-122.1685052,"98058"
"53","King County, WA                                                                                     ","53033029503","295.03 (King, WA)                                                                                   ",47.3866994,-122.2068665,"98030"
"53","King County, WA                                                                                     ","53033030304","303.04 (King, WA)                                                                                   ",47.2604337,-122.328716,"98003"
"53","King County, WA                                                                                     ","53033031100","311 (King, WA)                                                                                      ",47.28983,-122.2080345,"98002"
"53","King County, WA                                                                                     ","53033031100","311 (King, WA)                                                                                      ",47.2910325,-122.2080969,"98002"
"53","King County, WA                                                                                     ","53033031202","312.02 (King, WA)                                                                                   ",47.2815051,-122.1522782,"98092"
"53","King County, WA                                                                                     ","53033031202","312.02 (King, WA)                                                                                   ",47.2793863,-122.1574412,"98092"
"53","King County, WA                                                                                     ","53033031204","312.04 (King, WA)                                                                                   ",47.3048907,-122.1715908,"98092"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3605865,-122.1981149,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3743072,-122.2173422,"98030"
"53","King County, WA                                                                                     ","53033027600","276 (King, WA)                                                                                      ",47.4795303,-122.3650453,"98166"
"53","King County, WA                                                                                     ","53033027600","276 (King, WA)                                                                                      ",47.4767256,-122.3672871,"98166"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4260207,-122.1500379,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4258319,-122.146176,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.427825,-122.1479588,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4259543,-122.1525789,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4256149,-122.1565522,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4239198,-122.1514848,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4238862,-122.1490058,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4248199,-122.1565447,"98058"
"53","King County, WA                                                                                     ","53033025200","252 (King, WA)                                                                                      ",47.5165787,-122.178947,"98056"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4253821,-122.1446215,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4262234,-122.1487626,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4249499,-122.1469894,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4238628,-122.1463709,"98042"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4216848,-122.154976,"98042"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4294493,-122.1610237,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4288889,-122.1633843,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.428956,-122.1648823,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4288307,-122.1487553,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4287852,-122.151898,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4278249,-122.1519094,"98058"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3747271,-122.2150154,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3743609,-122.2123896,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3734754,-122.2133483,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3720267,-122.2157414,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3692395,-122.2248443,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3693523,-122.2237777,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3711215,-122.2210714,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3684852,-122.2291503,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3695523,-122.2264209,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3721883,-122.2131894,"98030"
"53","King County, WA                                                                                     ","53033031800","318 (King, WA)                                                                                      ",47.3866521,-122.1388287,"98042"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4270644,-122.1557826,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4249441,-122.1690277,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4262684,-122.1619604,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4274662,-122.1628708,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4300523,-122.1619507,"98058"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4230826,-122.1630274,"98058"
"53","King County, WA                                                                                     ","53033028600","286 (King, WA)                                                                                      ",47.4418733,-122.3585066,"98166"
"53","King County, WA                                                                                     ","53033025200","252 (King, WA)                                                                                      ",47.5095698,-122.1709631,"98056"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4294345,-122.1531952,"98058"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3569795,-122.2125236,"98030"
"53","King County, WA                                                                                     ","53033029307","293.07 (King, WA)                                                                                   ",47.4302422,-122.1712667,"98058"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3722761,-122.2194323,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3730268,-122.2209534,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3738376,-122.2187872,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3729904,-122.2192528,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3731249,-122.2149605,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3718181,-122.2194242,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3704726,-122.2260257,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3714806,-122.2243982,"98030"
"53","King County, WA                                                                                     ","53033029700","297 (King, WA)                                                                                      ",47.3730178,-122.2224333,"98030"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1137279,-121.4871686,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.0896175,-121.4545001,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.0864621,-121.4469846,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1240799,-121.5242056,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1164504,-121.4956988,"98022"
